"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
214,,$28,"THOMAS TIRE CENTER","3555 SOUTH 3600 WEST","WEST VALLEY CITY",84119,40.694793,-111.976564,1,rooftop,3555,"S 3600 W","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
221,,$33,"G.T. AUTOMOTIVE","919 W. BAXTER DR.","SOUTH JORDAN",84095,40.560258,-111.915926,1,rooftop,919,"W Baxter Dr","South Jordan",UT,"Salt Lake County",84095,US,"Utah AGRC (and individual UT counties)"
222,,$36,"HARRIS AUTO REPAIR","953 So. EDISON (140 E.)","SALT LAKE CITY",84111,40.755596,-111.883718,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84111,US,"TIGER/Line® dataset from the US Census Bureau"
233,,$33,"LARRY H. MILLER CHEVROLET","5500 SOUTH STATE ST.",MURRAY,84107,40.65174,-111.889504,1,rooftop,5500,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
234,,$32,"JERRY LAMBERT AUTOMOTIVE","398 EAST 3300 SOUTH","SALT LAKE CITY",84115,40.699593,-111.879902,1,rooftop,398,"E 3300 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
240,,$37,"UPTOWN SERVICE","2276 EAST 2100 SOUTH","SALT LAKE CITY",84109,40.725032,-111.825374,1,rooftop,2276,"E 2100 S","Salt Lake City",UT,"Salt Lake County",84109,US,"Utah AGRC (and individual UT counties)"
246,,$62,AUTO-MOTION,"8054 SOUTH STATE ST",MIDVALE,84047,40.604915,-111.891573,1,rooftop,8054,"S State St",Midvale,UT,"Salt Lake County",84047,US,"Utah AGRC (and individual UT counties)"
250,,$35,"APOSHIAN GARAGE","1450 EAST 3300 SOUTH","SALT LAKE CITY",84106,40.699679,-111.849757,1,rooftop,1450,"E 3300 S","Salt Lake City",UT,"Salt Lake County",84106,US,"Utah AGRC (and individual UT counties)"
264,,$35,"TERRYS CHEVRON SERVICE","572 WEST 9400 SOUTH",SANDY,84070,40.58106,-111.907132,1,rooftop,572,"W 9400 S",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
304,,$36,"ENGINUITY AUTOMOTIVE SVCS","5926 STRATLER ST. (380 W.)",MURRAY,84107,40.642008,-111.901757,1,range_interpolation,5926,"Stratler St","Salt Lake City",UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
